图书名,价格,出版年,国家,作者
红楼梦,59.7,1996,人民文学出版社,清,曹雪芹 著
活着,20.0,2012,作家出版社,中国,余华
1984,28.0,2010,北京十月文艺出版社,英,乔治·奥威尔
哈利·波特,498.0,2008,人民文学出版社,中国,J.K.罗琳 (J.K.Rowling)
三体全集 : 地球往事三部曲,168.0,2012,重庆出版社,中国,刘慈欣
百年孤独,39.5,2011,南海出版公司,哥伦比亚,加西亚·马尔克斯
飘,40.0,2000,译林出版社,美国,玛格丽特·米切尔
动物农场,10.0,2007,上海译文出版社,英,乔治·奥威尔
房思琪的初恋乐园,45.0,2018,北京联合出版公司,中国,林奕含
三国演义（全二册）,39.5,1998,人民文学出版社,明,罗贯中
福尔摩斯探案全集（上中下）,68.0,1981,群众出版社,英,阿·柯南道尔
白夜行,39.5,2013,南海出版公司,日,东野圭吾
小王子,22.0,2003,人民文学出版社,法,圣埃克苏佩里
安徒生童话故事集,25.0,1997,人民文学出版社,丹麦,安徒生
天龙八部,96.0,1994,生活·读书·新知三联书店,中国,金庸
呐喊,0.36,1973,人民文学出版社,中国,鲁迅
撒哈拉的故事,15.8,2003,哈尔滨出版社,中国,三毛
悉达多 : 一首印度的诗,32.0,2017,天津人民出版社,德,赫尔曼·黑塞
邓小平时代,88.0,2013,生活·读书·新知三联书店,美,傅高义 (Ezra.F.Vogel)
杀死一只知更鸟,32.0,2012,译林出版社,美,哈珀·李
明朝那些事儿（1-9） : 限量版,358.2,2009,中国海关出版社,中国,当年明月
失踪的孩子 : 那不勒斯四部曲4,62.0,2018,人民文学出版社,意,埃莱娜·费兰特
新名字的故事 : 那不勒斯四部曲2,59.0,2017,人民文学出版社,意,埃莱娜·费兰特
野草,0.2,1973,人民文学出版社,中国,鲁迅
沉默的大多数 : 王小波杂文随笔全编,27.0,1997,中国青年出版社,中国,王小波
中国历代政治得失,12.0,2001,生活·读书·新知三联书店,中国,钱穆
局外人,22.0,2010,上海译文出版社,法,阿尔贝·加缪
卡拉马佐夫兄弟,78.0,2015,上海译文出版社,俄,费奥多尔·陀思妥耶夫斯基
白鹿原 : 20周年精装典藏版,39.0,2012,人民文学出版社,中国,陈忠实
乡土中国,38.0,2006,上海人民出版社,中国,费孝通
人类简史 : 从动物到上帝,68.0,2014,中信出版社,以色列,尤瓦尔·赫拉利
彷徨,0.37,1973,人民文学出版社,中国,鲁迅
围城,19.0,1991,人民文学出版社,中国,钱锺书
平凡的世界（全三部）,64.0,2005,人民文学出版社,中国,路遥
许三观卖血记,24.0,2012,作家出版社,中国,余华
罗杰疑案 : 阿加莎·克里斯蒂作品02,28.0,2013,新星出版社,英,阿加莎·克里斯蒂
笑傲江湖（全四册）,76.8,1994,生活·读书·新知三联书店,中国,金庸
我与地坛 : 史铁生代表作,25.0,2002,春风文艺出版社,中国,史铁生
献给阿尔吉侬的花束,36.0,2015,广西师范大学出版社,美,丹尼尔·凯斯
东方快车谋杀案,18.0,2006,人民文学出版社,英,阿加莎·克里斯蒂
肖申克的救赎,29.9,2006,人民文学出版社,美,斯蒂芬·金
基督山伯爵,43.9,1991,上海译文出版社,法国,大仲马
江城,36.0,2012,上海译文出版社,美,彼得·海斯勒
城南旧事 : 纪念普及版,16.0,2003,中国青年出版社,中国,林海音 文
故事新编,0.31,1973,人民文学出版社,中国,鲁迅
霍乱时期的爱情,39.5,2012,南海出版公司,哥伦比亚,加西亚·马尔克斯
艺术的故事,280.0,2008,广西美术出版社,英,贡布里希 (Sir E.H.Gombrich)
万历十五年,18.0,1997,生活·读书·新知三联书店,美,黄仁宇
朝花夕拾,0.25,1973,人民文学出版社,中国,鲁迅
月亮和六便士,15.0,2006,上海译文出版社,英,毛姆
厌女 : 日本的女性嫌恶,28.0,2015,上海三联书店,中国,上野千鹤子
秋园,38.0,2020,北京联合出版公司,中国,杨本芬
射雕英雄传,47.0,1999,生活·读书·新知三联书店,中国,金庸
置身事内 : 中国政府与经济发展,65.0,2021,上海人民出版社,中国,兰小欢
追风筝的人,29.0,2006,上海人民出版社,美,卡勒德·胡赛尼
寻路中国 : 从乡村到工厂的自驾之旅,33.0,2011,上海译文出版社,美,彼得·海斯勒
树上的男爵,30.0,2012,译林出版社,意大利,伊塔洛·卡尔维诺
刀锋,18.0,2007,上海译文出版社,英,毛姆
格林童话全集,21.45,1994,人民文学出版社,德国,格林兄弟
无人生还,19.0,2008,人民文学出版社,英,阿加莎・克里斯蒂
中国少年儿童百科全书（全四册）,168.0,1991,浙江教育出版社,中国,林崇德 主编
西游记（全二册）,47.2,2004,人民文学出版社,中国,吴承恩
鼠疫,34.0,2013,上海译文出版社,法,阿尔贝·加缪
嫌疑人X的献身,28.0,2008,南海出版公司,日,东野圭吾
黄金时代 : 时代三部曲,19.0,1999,花城出版社,中国,王小波
傲慢与偏见,13.0,1993,人民文学出版社,英,奥斯丁
史记（全十册） : （全十册）,125.0,1982,中华书局,中国,司马迁
可能性的艺术 : 比较政治学30讲,82.0,2022,广西师范大学出版社,中国,刘瑜
悲惨世界（上中下）,66.0,1992,人民文学出版社,法,雨果
始于极限 : 女性主义往复书简,59,2022,新星出版社,日,上野千鹤子
台北人,38.0,2010,广西师范大学出版社,中国,白先勇
永恒的终结 : 关于时间旅行的终极奥秘和恢宏构想,32.0,2014,江苏凤凰文艺出版社,美,艾萨克·阿西莫夫
诗经,19.9,2006,北京出版社,中国,孔丘 编订
刘擎西方现代思想讲义,79.0,2021,新星出版社,中国,刘擎
孽子,46.0,2010.1,广西师范大学出版社,中国,白先勇
太白金星有点烦,45.0,2023,湖南文艺出版社,中国,马伯庸
历史深处的忧虑 : 近距离看美国之一,19.0,1997,生活·读书·新知三联书店,中国,林达
神雕侠侣,76.8,1996,生活·读书·新知三联书店,中国,金庸
上帝掷骰子吗 : 量子物理史话,32.0,2006,辽宁教育出版社,中国,曹天元
美丽新世界,45.0,2017,上海译文出版社,英,奥尔德斯·赫胥黎
一个叫欧维的男人决定去死,35.0,2015,四川文艺出版社,瑞典,弗雷德里克·巴克曼
哭泣的骆驼,15.8,2003,哈尔滨出版社,中国,三毛
灿烂千阳,28.0,2007,上海人民出版社,美,卡勒德·胡赛尼
唐诗三百首,0.65,1984,中华书局,中国,蘅塘退士
