图书名,价格,出版年,国家,作者,出版社,评分,评论数,主题评论
红楼梦,59.7,1996,清, 曹雪芹,人民文学出版社,9.6,424138,都云作者痴，谁解其中味？
活着,20.0,2012,中国,余华,作家出版社,9.4,833741,生的苦难与伟大
1984 Nineteen Eighty-Four,28.0,2010,英, 乔治·奥威尔,北京十月文艺出版社,9.4,284512,栗树荫下，我出卖你，你出卖我
哈利·波特 Harry Potter,498.0,2008,中国,J.K.罗琳 (J.K.Rowling),人民文学出版社,9.7,107256,从9¾站台开始的旅程
三体全集 : 地球往事三部曲,168.0,2012,中国,刘慈欣,重庆出版社,9.5,187652,地球往事三部曲
百年孤独 Cien años de soledad,39.5,2011,哥伦比亚, 加西亚·马尔克斯,南海出版公司,9.3,425689,魔幻现实主义文学代表作
飘 Gone with the Wind,40.0,2000,美国, 玛格丽特·米切尔,译林出版社,9.3,212521,革命时期的爱情，随风而逝
动物农场 Animal Farm,10.0,2007,英, 乔治·奥威尔,上海译文出版社,9.3,160029,太阳底下并无新事
房思琪的初恋乐园,45.0,2018,中国,林奕含,北京联合出版公司,9.2,379625,向死而生的文学绝唱
三国演义（全二册）,39.5,1998,明, 罗贯中,人民文学出版社,9.3,168535,是非成败转头空
福尔摩斯探案全集（上中下）,68.0,1981,英, 阿·柯南道尔,群众出版社,9.3,133629,名侦探的代名词
白夜行 白夜行,39.5,2013,日, 东野圭吾,南海出版公司,9.2,475208,一宗离奇命案牵出跨度近20年步步惊心的故事
小王子 Le Petit Prince,22.0,2003,法, 圣埃克苏佩里,人民文学出版社,9.1,756332,献给长成了大人的孩子们
安徒生童话故事集,25.0,1997,丹麦,安徒生,人民文学出版社,9.3,132760,为了争取未来的一代
天龙八部,96.0,1994,中国,金庸,生活·读书·新知三联书店,9.2,132979,有情皆孽，无人不冤
呐喊,0.36,1973,中国,鲁迅,人民文学出版社,9.2,160470,新文学的第一声呐喊
撒哈拉的故事,15.8,2003,中国,三毛,哈尔滨出版社,9.2,174949,游荡的自由灵魂
悉达多 : 一首印度的诗 Siddhartha,32.0,2017,德, 赫尔曼·黑塞,天津人民出版社,9.3,105157,无
邓小平时代 Deng Xiaoping and the Transformation of China,88.0,2013,美,傅高义 (Ezra.F.Vogel),生活·读书·新知三联书店,9.3,70756,个人命运背后的历史变局
杀死一只知更鸟 To Kill a Mocking Bird,32.0,2012,美, 哈珀·李,译林出版社,9.2,146830,有一种东西不能遵循从众原则，那就是——人的良心
明朝那些事儿（1-9） : 限量版,358.2,2009,中国,当年明月,中国海关出版社,9.2,174907,不拘一格的历史书写
失踪的孩子 : 那不勒斯四部曲4 Storia della bambina perduta,62.0,2018,意, 埃莱娜·费兰特,人民文学出版社,9.2,81465,我的整个生命，只是一场为了提升社会地位的低俗斗争。
新名字的故事 : 那不勒斯四部曲2 Storia del nuovo cognome,59.0,2017,意, 埃莱娜·费兰特,人民文学出版社,9.2,92062,探索青年时代的激情、困惑、挣扎、背叛和失去
野草,0.2,1973,中国,鲁迅,人民文学出版社,9.5,47437,我以这一丛野草，在明与暗，生与死，过去与未来之际，献于友与仇，人与兽，爱者与不爱者之前作证。
沉默的大多数 : 王小波杂文随笔全编,27.0,1997,中国,王小波,中国青年出版社,9.1,151490,沉默是沉默者的通行证
中国历代政治得失,12.0,2001,中国,钱穆,生活·读书·新知三联书店,9.2,72839,一部简明的“中国政治制度史”
局外人 L'Etranger,22.0,2010,法, 阿尔贝·加缪,上海译文出版社,9.1,240318,人生在世，永远也不该演戏作假
白鹿原 : 20周年精装典藏版,39.0,2012,中国,陈忠实,人民文学出版社,9.2,107960,一轴关于我们民族灵魂的现实主义画卷
乡土中国,38.0,2006,中国,费孝通,上海人民出版社,9.2,90552,中国乡土社会传统文化和社会结构理论研究代表作
卡拉马佐夫兄弟 БРАТЬЯ КАРАМАЗОВЫ,78.0,2015,俄, 费奥多尔·陀思妥耶夫斯基,上海译文出版社,9.6,34178,无
人类简史 : 从动物到上帝 Sapiens: A brief history of humankind,68.0,2014,以色列, 尤瓦尔·赫拉利,中信出版社,9.1,199711,跟着人类一同走过十万年
围城,19.0,1991,中国,钱锺书,人民文学出版社,9.0,447229,幽默的语言和对生活深刻的观察
平凡的世界（全三部）,64.0,2005,中国,路遥,人民文学出版社,9.0,324416,中国当代城乡生活全景
彷徨,0.37,1973,中国,鲁迅,人民文学出版社,9.3,65610,路漫漫其修远兮，吾将上下而求索
罗杰疑案 : 阿加莎·克里斯蒂作品02 The Murder of Roger Ackroyd,28.0,2013,英, 阿加莎·克里斯蒂,新星出版社,9.2,74632,无
许三观卖血记,24.0,2012,中国,余华,作家出版社,9.2,163852,无
笑傲江湖（全四册）,76.8,1994,中国,金庸,生活·读书·新知三联书店,9.1,111846,欲练此功，必先自宫
我与地坛 : 史铁生代表作,25.0,2002,中国,史铁生,春风文艺出版社,9.2,108837,这是你的罪孽与福祉
献给阿尔吉侬的花束 Flowers for Algernon,36.0,2015,美, 丹尼尔·凯斯,广西师范大学出版社,9.1,108964,当声称能改造智能的科学实验选中心智障碍主角
东方快车谋杀案 Murder on the Orient Express,18.0,2006,英, 阿加莎·克里斯蒂,人民文学出版社,9.1,139706,谋杀诡计惊人，波洛的抉择耐人寻味
肖申克的救赎 Different Seasons,29.9,2006,美, 斯蒂芬·金,人民文学出版社,9.1,121564,豆瓣电影Top1原著
江城 River Town,36.0,2012,美, 彼得·海斯勒,上海译文出版社,9.1,62958,外国人眼中的涪陵
基督山伯爵 Le Comte de Monte-Cristo,43.9,1991,法国, 大仲马,上海译文出版社,9.1,129488,一个报恩复仇的故事，以法国波旁王朝和七月王朝为背景
霍乱时期的爱情 El amor en los tiempos del cólera,39.5,2012,哥伦比亚, 加西亚·马尔克斯,南海出版公司,9.0,285907,义无反顾地直达爱情的核心
城南旧事 : 纪念普及版,16.0,2003,中国,林海音 文,中国青年出版社,9.1,157312,长亭外，古道边，芳草碧连天
故事新编,0.31,1973,中国,鲁迅,人民文学出版社,9.4,43359,拾取古代传说，取一点因由，随意点染
艺术的故事 The Story of Art,280.0,2008,英, 贡布里希 (Sir E.H.Gombrich),广西美术出版社,9.6,26366,从最早的洞窟绘画到当今的实验艺术
万历十五年,18.0,1997,美, 黄仁宇,生活·读书·新知三联书店,9.0,202116,见微知著，历史观的颠覆
朝花夕拾,0.25,1973,中国,鲁迅,人民文学出版社,9.1,155088,在纷扰中寻出一点闲静
月亮和六便士 The Moon and Sixpence,15.0,2006,英, 毛姆,上海译文出版社,9.0,209675,有多少人会经历顿悟，就有更少的人甘愿自我放逐
厌女 : 日本的女性嫌恶 女ぎらい,28.0,2015,中国,上野千鹤子,上海三联书店,9.1,81917,无
秋园,38.0,2020,中国,杨本芬,北京联合出版公司,9.0,108161,无
射雕英雄传,47.0,1999,中国,金庸,生活·读书·新知三联书店,9.1,85758,侠之大者，为国为民
置身事内 : 中国政府与经济发展,65.0,2021,中国,兰小欢,上海人民出版社,9.1,80000,无
追风筝的人 The Kite Runner,29.0,2006,美, 卡勒德·胡赛尼,上海人民出版社,8.9,794995,为你，千千万万遍
刀锋 The Razor's Edge,18.0,2007,英,毛姆,上海译文出版社,9.0,91960,一把刀的锋刃不容易越过；因此智者说得救之道是困难的
