图书名,国家,作者,出版社,出品方,副标题,原作名,译者,出版年,图书页数,平装定价,精装定价,丛书,ISBN,评分,评论人数,5星百分比,4星百分比,3星百分比,2星百分比,1星百分比,短评数,综评数,在读读者数,已读读者数,想读读者数,读书笔记数
红楼梦,中国,曹雪芹 著 / 高鹗,人民文学出版社,无,无,无,无,1996,1606,59.7,0.0,中国古典文学读本丛书,9787020002207,9.6,424131,0.8420000000000001,0.135,0.02,0.002,0.002,88230,4523,45714,676632,191368,4430
活着,中国,余华,作家出版社,无,无,无,无,2012,191,20.0,0.0,余华作品（2012版）,9787506365437,9.4,833712,0.7759999999999999,0.201,0.021,0.002,0.001,195320,12140,31277,1314497,362058,2464
1984,英国,乔治·奥威尔,北京十月文艺出版社,新经典文化,无,Nineteen Eighty-Four,刘绍铭,2010,304,0.0,28.0,新经典文库：桂冠文丛,9787530210291,9.4,284497,0.743,0.221,0.032,0.002,0.001,2377,756,0,0,0,0
哈利·波特,英国,J.K.罗琳 (J.K.Rowling),人民文学出版社,无,无,Harry Potter,苏农 / 马爱农 / 马爱新,2008,3104,0.0,498.0,无,9787020096695,9.7,107250,0.8490000000000001,0.132,0.017,0.001,0.001,17542,221,2859,151534,40000,54
三体全集,中国,刘慈欣,重庆出版社,科幻世界,地球往事三部曲,无,无,2012,1285,0.0,168.0,科幻世界·中国科幻基石丛书,9787229042066,9.5,187644,0.818,0.153,0.023,0.003,0.002,29942,4499,48118,330781,204626,338
百年孤独,哥伦比亚,加西亚·马尔克斯,南海出版公司,新经典文化,无,Cien años de soledad,范晔,2011,360,0.0,39.5,新经典文库：加西亚·马尔克斯作品,9787544253994,9.3,425681,0.698,0.242,0.052,0.005,0.002,117694,6754,62723,638568,455583,7870
飘,美国,玛格丽特·米切尔,译林出版社,无,无,Gone with the Wind,李美华,2000,1235,0.0,40.0,无,9787806570920,9.3,212517,0.7090000000000001,0.246,0.04,0.003,0.002,42160,3061,10953,468542,231719,825
动物农场,英国,乔治·奥威尔,上海译文出版社,无,无,Animal Farm,荣如德,2007,119,10.0,0.0,译文名著文库,9787532741854,9.3,160020,0.713,0.247,0.037,0.002,0.001,28274,591,5369,262788,168784,0
房思琪的初恋乐园,中国,林奕含,北京联合出版公司,磨铁图书,无,无,无,2018,272,45.0,0.0,无,9787559614636,9.2,379615,0.6890000000000001,0.261,0.043,0.004,0.003,120387,7078,22866,494188,279384,5787
三国演义（全二册）,中国,罗贯中,人民文学出版社,无,无,无,无,1998,990,39.5,0.0,中国古典文学读本丛书,9787020008728,9.3,168533,0.745,0.213,0.039,0.002,0.001,22097,1173,8861,347534,67012,854
福尔摩斯探案全集（上中下）,英国,阿瑟·柯南·道尔,群众出版社,无,无,无,丁钟华 等,1981,1820,53.0,68.0,无,9787501408580,9.3,133625,0.736,0.226,0.036,0.001,0.001,18929,575,7348,199743,73524,134
白夜行,日本,东野圭吾,南海出版公司,新经典文化,无,白夜行,刘姿君,2013,538,0.0,39.5,新经典文库·东野圭吾作品,9787544258609,9.2,475195,0.684,0.265,0.045,0.004,0.002,115144,9680,12702,608354,136771,1364
